TRBV,TRBJ,count,Frequency,
TRBV10-1,TRBJ1-1,430,0.111693534,384982
TRBV10-2,TRBJ1-1,890,0.23117964,0
TRBV10-3,TRBJ1-1,812,0.210918952,25984
TRBV11-1,TRBJ1-1,1,0.000259752,
TRBV11-2,TRBJ1-1,4,0.00103901,
TRBV11-3,TRBJ1-1,0,0,
TRBV12-2,TRBJ1-1,0,0,
TRBV12-3,TRBJ1-1,27,0.007013315,
TRBV12-4,TRBJ1-1,435,0.112992296,
TRBV12-5,TRBJ1-1,29,0.00753282,
TRBV13,TRBJ1-1,3571,0.927575835,
TRBV14,TRBJ1-1,26,0.006753563,
TRBV15,TRBJ1-1,0,0,
TRBV16,TRBJ1-1,0,0,
TRBV18,TRBJ1-1,1,0.000259752,
TRBV19,TRBJ1-1,236,0.061301567,
TRBV2,TRBJ1-1,693,0.180008416,
TRBV20-1,TRBJ1-1,1844,0.478983433,
TRBV21-1,TRBJ1-1,1067,0.277155815,
TRBV23-1,TRBJ1-1,0,0,
TRBV24-1,TRBJ1-1,693,0.180008416,
TRBV25-1,TRBJ1-1,124,0.032209298,
TRBV27,TRBJ1-1,710,0.184424207,
TRBV28,TRBJ1-1,2187,0.568078508,
TRBV29-1,TRBJ1-1,3900,1.013034376,
TRBV3-1,TRBJ1-1,769,0.199749599,
TRBV3-2,TRBJ1-1,188,0.048833452,
TRBV30,TRBJ1-1,39,0.010130344,
TRBV4-1,TRBJ1-1,3699,0.960824142,
TRBV4-2,TRBJ1-1,3,0.000779257,
TRBV4-3,TRBJ1-1,5092,1.322659241,
TRBV5-1,TRBJ1-1,315,0.081822007,
TRBV5-3,TRBJ1-1,0,0,
TRBV5-4,TRBJ1-1,211,0.054807757,
TRBV5-5,TRBJ1-1,83,0.02155945,
TRBV5-6,TRBJ1-1,497,0.129096945,
TRBV5-8,TRBJ1-1,0,0,
TRBV6-1,TRBJ1-1,26,0.006753563,
TRBV6-2,TRBJ1-1,447,0.116109325,
TRBV6-3,TRBJ1-1,18,0.004675543,
TRBV6-4,TRBJ1-1,0,0,
TRBV6-5,TRBJ1-1,560,0.145461346,
TRBV6-6,TRBJ1-1,34,0.008831582,
TRBV6-7,TRBJ1-1,0,0,
TRBV6-9,TRBJ1-1,0,0,
TRBV7-2,TRBJ1-1,185,0.048054195,
TRBV7-3,TRBJ1-1,109,0.028313012,
TRBV7-6,TRBJ1-1,572,0.148578375,
TRBV7-7,TRBJ1-1,0,0,
TRBV7-8,TRBJ1-1,0,0,
TRBV7-9,TRBJ1-1,574,0.14909788,
TRBV9,TRBJ1-1,72,0.018702173,
