TRBV,TRBJ,count
TRBV10-1,TRBJ1-1,430
TRBV10-2,TRBJ1-1,890
TRBV10-3,TRBJ1-1,812
TRBV11-1,TRBJ1-1,1
TRBV11-2,TRBJ1-1,122
TRBV11-3,TRBJ1-1,0
TRBV12-2,TRBJ1-1,0
TRBV12-3,TRBJ1-1,27
TRBV12-4,TRBJ1-1,435
TRBV12-5,TRBJ1-1,29
TRBV13,TRBJ1-1,3571
TRBV14,TRBJ1-1,26
TRBV15,TRBJ1-1,17
TRBV16,TRBJ1-1,0
TRBV18,TRBJ1-1,1
TRBV19,TRBJ1-1,254
TRBV2,TRBJ1-1,693
TRBV20-1,TRBJ1-1,1872
TRBV21-1,TRBJ1-1,1067
TRBV23-1,TRBJ1-1,13
TRBV24-1,TRBJ1-1,693
TRBV25-1,TRBJ1-1,124
TRBV27,TRBJ1-1,710
TRBV28,TRBJ1-1,2187
TRBV29-1,TRBJ1-1,3900
TRBV3-1,TRBJ1-1,772
TRBV3-2,TRBJ1-1,188
TRBV30,TRBJ1-1,39
TRBV4-1,TRBJ1-1,3699
TRBV4-2,TRBJ1-1,3
TRBV4-3,TRBJ1-1,5092
TRBV5-1,TRBJ1-1,315
TRBV5-3,TRBJ1-1,0
TRBV5-4,TRBJ1-1,211
TRBV5-5,TRBJ1-1,83
TRBV5-6,TRBJ1-1,497
TRBV5-8,TRBJ1-1,0
TRBV6-1,TRBJ1-1,26
TRBV6-2,TRBJ1-1,447
TRBV6-3,TRBJ1-1,18
TRBV6-4,TRBJ1-1,0
TRBV6-5,TRBJ1-1,560
TRBV6-6,TRBJ1-1,34
TRBV6-7,TRBJ1-1,0
TRBV6-9,TRBJ1-1,0
TRBV7-2,TRBJ1-1,185
TRBV7-3,TRBJ1-1,109
TRBV7-6,TRBJ1-1,572
TRBV7-7,TRBJ1-1,0
TRBV7-8,TRBJ1-1,0
TRBV7-9,TRBJ1-1,588
TRBV9,TRBJ1-1,72
TRBV10-1,TRBJ1-2,1
TRBV10-2,TRBJ1-2,0
TRBV10-3,TRBJ1-2,306
TRBV11-1,TRBJ1-2,0
TRBV11-2,TRBJ1-2,3
TRBV11-3,TRBJ1-2,6
TRBV12-2,TRBJ1-2,0
TRBV12-3,TRBJ1-2,1782
TRBV12-4,TRBJ1-2,1422
TRBV12-5,TRBJ1-2,84
TRBV13,TRBJ1-2,1589
TRBV14,TRBJ1-2,933
TRBV15,TRBJ1-2,73
TRBV16,TRBJ1-2,0
TRBV18,TRBJ1-2,1146
TRBV19,TRBJ1-2,75
TRBV2,TRBJ1-2,283
TRBV20-1,TRBJ1-2,6951
TRBV21-1,TRBJ1-2,21
TRBV23-1,TRBJ1-2,0
TRBV24-1,TRBJ1-2,0
TRBV25-1,TRBJ1-2,54
TRBV27,TRBJ1-2,5
TRBV28,TRBJ1-2,3116
TRBV29-1,TRBJ1-2,652
TRBV3-1,TRBJ1-2,26
TRBV3-2,TRBJ1-2,19
TRBV30,TRBJ1-2,1537
TRBV4-1,TRBJ1-2,75
TRBV4-2,TRBJ1-2,20
TRBV4-3,TRBJ1-2,10
TRBV5-1,TRBJ1-2,1323
TRBV5-3,TRBJ1-2,0
TRBV5-4,TRBJ1-2,3
TRBV5-5,TRBJ1-2,0
TRBV5-6,TRBJ1-2,0
TRBV5-8,TRBJ1-2,1746
TRBV6-1,TRBJ1-2,70
TRBV6-2,TRBJ1-2,3
TRBV6-3,TRBJ1-2,4
TRBV6-4,TRBJ1-2,47
TRBV6-5,TRBJ1-2,51
TRBV6-6,TRBJ1-2,6
TRBV6-7,TRBJ1-2,0
TRBV6-9,TRBJ1-2,0
TRBV7-2,TRBJ1-2,2453
TRBV7-3,TRBJ1-2,1283
TRBV7-6,TRBJ1-2,15
TRBV7-7,TRBJ1-2,104
TRBV7-8,TRBJ1-2,0
TRBV7-9,TRBJ1-2,1846
TRBV9,TRBJ1-2,5211
TRBV10-1,TRBJ1-3,0
TRBV10-2,TRBJ1-3,0
TRBV10-3,TRBJ1-3,0
TRBV11-1,TRBJ1-3,0
TRBV11-2,TRBJ1-3,0
TRBV11-3,TRBJ1-3,0
TRBV12-2,TRBJ1-3,0
TRBV12-3,TRBJ1-3,0
TRBV12-4,TRBJ1-3,0
TRBV12-5,TRBJ1-3,0
TRBV13,TRBJ1-3,0
TRBV14,TRBJ1-3,0
TRBV15,TRBJ1-3,324
TRBV16,TRBJ1-3,0
TRBV18,TRBJ1-3,217
TRBV19,TRBJ1-3,44
TRBV2,TRBJ1-3,16
TRBV20-1,TRBJ1-3,530
TRBV21-1,TRBJ1-3,0
TRBV23-1,TRBJ1-3,0
TRBV24-1,TRBJ1-3,0
TRBV25-1,TRBJ1-3,0
TRBV27,TRBJ1-3,0
TRBV28,TRBJ1-3,0
TRBV29-1,TRBJ1-3,1
TRBV3-1,TRBJ1-3,0
TRBV3-2,TRBJ1-3,0
TRBV30,TRBJ1-3,0
TRBV4-1,TRBJ1-3,162
TRBV4-2,TRBJ1-3,1
TRBV4-3,TRBJ1-3,0
TRBV5-1,TRBJ1-3,1
TRBV5-3,TRBJ1-3,0
TRBV5-4,TRBJ1-3,0
TRBV5-5,TRBJ1-3,0
TRBV5-6,TRBJ1-3,0
TRBV5-8,TRBJ1-3,4
TRBV6-1,TRBJ1-3,15
TRBV6-2,TRBJ1-3,0
TRBV6-3,TRBJ1-3,0
TRBV6-4,TRBJ1-3,0
TRBV6-5,TRBJ1-3,40
TRBV6-6,TRBJ1-3,5
TRBV6-7,TRBJ1-3,0
TRBV6-9,TRBJ1-3,0
TRBV7-2,TRBJ1-3,3
TRBV7-3,TRBJ1-3,0
TRBV7-6,TRBJ1-3,0
TRBV7-7,TRBJ1-3,189
TRBV7-8,TRBJ1-3,0
TRBV7-9,TRBJ1-3,0
TRBV9,TRBJ1-3,1
TRBV10-1,TRBJ1-4,0
TRBV10-2,TRBJ1-4,0
TRBV10-3,TRBJ1-4,0
TRBV11-1,TRBJ1-4,0
TRBV11-2,TRBJ1-4,1
TRBV11-3,TRBJ1-4,0
TRBV12-2,TRBJ1-4,0
TRBV12-3,TRBJ1-4,2
TRBV12-4,TRBJ1-4,0
TRBV12-5,TRBJ1-4,0
TRBV13,TRBJ1-4,0
TRBV14,TRBJ1-4,0
TRBV15,TRBJ1-4,340
TRBV16,TRBJ1-4,0
TRBV18,TRBJ1-4,0
TRBV19,TRBJ1-4,0
TRBV2,TRBJ1-4,102
TRBV20-1,TRBJ1-4,23
TRBV21-1,TRBJ1-4,0
TRBV23-1,TRBJ1-4,0
TRBV24-1,TRBJ1-4,0
TRBV25-1,TRBJ1-4,37
TRBV27,TRBJ1-4,0
TRBV28,TRBJ1-4,1868
TRBV29-1,TRBJ1-4,36
TRBV3-1,TRBJ1-4,1
TRBV3-2,TRBJ1-4,0
TRBV30,TRBJ1-4,7
TRBV4-1,TRBJ1-4,444
TRBV4-2,TRBJ1-4,0
TRBV4-3,TRBJ1-4,11
TRBV5-1,TRBJ1-4,1310
TRBV5-3,TRBJ1-4,0
