TRBV,TRBJ,count
TRBV1,TRBJ1-1,0
TRBV10-1,TRBJ1-1,12
TRBV10-2,TRBJ1-1,4
TRBV10-3,TRBJ1-1,3
TRBV11-1,TRBJ1-1,0
TRBV11-2,TRBJ1-1,20
TRBV11-3,TRBJ1-1,0
TRBV12-1,TRBJ1-1,0
TRBV12-2,TRBJ1-1,0
TRBV12-3,TRBJ1-1,29
TRBV12-4,TRBJ1-1,30
TRBV12-5,TRBJ1-1,55
TRBV13,TRBJ1-1,59
TRBV14,TRBJ1-1,382
TRBV15,TRBJ1-1,38
TRBV16,TRBJ1-1,0
TRBV18,TRBJ1-1,699
TRBV19,TRBJ1-1,1143
TRBV2,TRBJ1-1,1799
TRBV20-1,TRBJ1-1,130
TRBV21-1,TRBJ1-1,1
TRBV23-1,TRBJ1-1,7
TRBV24-1,TRBJ1-1,28
TRBV25-1,TRBJ1-1,17
TRBV27,TRBJ1-1,2192
TRBV28,TRBJ1-1,11823
TRBV29-1,TRBJ1-1,743
TRBV3-1,TRBJ1-1,2622
TRBV3-2,TRBJ1-1,0
TRBV30,TRBJ1-1,27
TRBV4-1,TRBJ1-1,2233
TRBV4-2,TRBJ1-1,51
TRBV4-3,TRBJ1-1,54
TRBV5-1,TRBJ1-1,360
TRBV5-3,TRBJ1-1,13
TRBV5-4,TRBJ1-1,6
TRBV5-5,TRBJ1-1,206
TRBV5-6,TRBJ1-1,215
TRBV5-7,TRBJ1-1,0
TRBV5-8,TRBJ1-1,57
TRBV6-1,TRBJ1-1,97
TRBV6-2,TRBJ1-1,26
TRBV6-3,TRBJ1-1,651
TRBV6-4,TRBJ1-1,4
TRBV6-5,TRBJ1-1,511
TRBV6-6,TRBJ1-1,120
TRBV6-7,TRBJ1-1,0
TRBV6-9,TRBJ1-1,0
TRBV7-2,TRBJ1-1,4
TRBV7-3,TRBJ1-1,2087
TRBV7-4,TRBJ1-1,0
TRBV7-5,TRBJ1-1,0
TRBV7-6,TRBJ1-1,805
TRBV7-7,TRBJ1-1,0
TRBV7-8,TRBJ1-1,66
TRBV7-9,TRBJ1-1,263
TRBV9,TRBJ1-1,143
TRBV1,TRBJ1-2,0
TRBV10-1,TRBJ1-2,1
TRBV10-2,TRBJ1-2,35
TRBV10-3,TRBJ1-2,34
TRBV11-1,TRBJ1-2,0
TRBV11-2,TRBJ1-2,365
TRBV11-3,TRBJ1-2,9
TRBV12-1,TRBJ1-2,0
TRBV12-2,TRBJ1-2,4
TRBV12-3,TRBJ1-2,256
TRBV12-4,TRBJ1-2,324
TRBV12-5,TRBJ1-2,0
TRBV13,TRBJ1-2,92
TRBV14,TRBJ1-2,15
TRBV15,TRBJ1-2,38
TRBV16,TRBJ1-2,0
TRBV18,TRBJ1-2,122
TRBV19,TRBJ1-2,41
TRBV2,TRBJ1-2,289
TRBV20-1,TRBJ1-2,159
TRBV21-1,TRBJ1-2,31
TRBV23-1,TRBJ1-2,0
TRBV24-1,TRBJ1-2,69
TRBV25-1,TRBJ1-2,7
TRBV27,TRBJ1-2,1418
TRBV28,TRBJ1-2,28836
TRBV29-1,TRBJ1-2,632
TRBV3-1,TRBJ1-2,52
TRBV3-2,TRBJ1-2,0
TRBV30,TRBJ1-2,2
TRBV4-1,TRBJ1-2,278
TRBV4-2,TRBJ1-2,11158
TRBV4-3,TRBJ1-2,118
TRBV5-1,TRBJ1-2,11
TRBV5-3,TRBJ1-2,0
TRBV5-4,TRBJ1-2,14
TRBV5-5,TRBJ1-2,7
TRBV5-6,TRBJ1-2,12
TRBV5-7,TRBJ1-2,0
TRBV5-8,TRBJ1-2,3
TRBV6-1,TRBJ1-2,56
TRBV6-2,TRBJ1-2,25
TRBV6-3,TRBJ1-2,0
TRBV6-4,TRBJ1-2,12
TRBV6-5,TRBJ1-2,2776
TRBV6-6,TRBJ1-2,130
TRBV6-7,TRBJ1-2,0
TRBV6-9,TRBJ1-2,0
TRBV7-2,TRBJ1-2,68
TRBV7-3,TRBJ1-2,1
TRBV7-4,TRBJ1-2,3
TRBV7-5,TRBJ1-2,0
TRBV7-6,TRBJ1-2,19
TRBV7-7,TRBJ1-2,0
TRBV7-8,TRBJ1-2,20
TRBV7-9,TRBJ1-2,5432
TRBV9,TRBJ1-2,178
TRBV1,TRBJ1-3,0
TRBV10-1,TRBJ1-3,0
TRBV10-2,TRBJ1-3,0
TRBV10-3,TRBJ1-3,0
TRBV11-1,TRBJ1-3,0
TRBV11-2,TRBJ1-3,0
TRBV11-3,TRBJ1-3,0
TRBV12-1,TRBJ1-3,0
TRBV12-2,TRBJ1-3,0
TRBV12-3,TRBJ1-3,0
TRBV12-4,TRBJ1-3,0
TRBV12-5,TRBJ1-3,0
TRBV13,TRBJ1-3,0
TRBV14,TRBJ1-3,0
TRBV15,TRBJ1-3,1
TRBV16,TRBJ1-3,0
TRBV18,TRBJ1-3,0
TRBV19,TRBJ1-3,2
TRBV2,TRBJ1-3,0
TRBV20-1,TRBJ1-3,54
TRBV21-1,TRBJ1-3,0
TRBV23-1,TRBJ1-3,0
TRBV24-1,TRBJ1-3,11
TRBV25-1,TRBJ1-3,0
TRBV27,TRBJ1-3,1
TRBV28,TRBJ1-3,137
TRBV29-1,TRBJ1-3,232
TRBV3-1,TRBJ1-3,17
TRBV3-2,TRBJ1-3,0
TRBV30,TRBJ1-3,0
TRBV4-1,TRBJ1-3,324
TRBV4-2,TRBJ1-3,0
TRBV4-3,TRBJ1-3,4
