Sample,Length,Count,Frequency
H01,9,6,0.036721954
H01,10,3,0.018360977
H01,11,19,0.116286186
H01,12,233,1.426035865
H01,13,291,1.78101475
H01,14,124,0.758920375
H01,15,249,1.523961075
H01,16,380,2.325723729
H01,17,67,0.410061815
H01,18,81,0.495746374
H01,19,21,0.128526838
H01,21,2,0.012240651
H02,8,1,0.006120326
H02,10,40,0.244813024
H02,11,11,0.067323582
H02,12,207,1.266907399
H02,13,229,1.401554563
H02,14,159,0.973131771
H02,15,567,3.470224616
H02,16,78,0.477385397
H02,17,48,0.293775629
H02,18,40,0.244813024
H02,19,9,0.05508293
H02,21,1,0.006120326
H02,22,2,0.012240651
H02,25,3,0.018360977
H02,29,1,0.006120326
H03,10,1,0.006120326
H03,11,40,0.244813024
H03,12,57,0.348858559
H03,13,37,0.226452047
H03,14,105,0.642634188
H03,15,205,1.254666748
H03,16,92,0.563069955
H03,17,215,1.315870004
H03,18,1,0.006120326
H04,10,2,0.012240651
H04,11,89,0.544708979
H04,12,33,0.201970745
H04,13,195,1.193463492
H04,14,1128,6.903727278
H04,15,441,2.69906359
H04,16,865,5.294081645
H04,17,49,0.299895954
H04,18,23,0.140767489
H04,19,14,0.085684558
H04,20,25,0.15300814
H05,11,288,1.762653773
H05,12,236,1.444396842
H05,13,625,3.825203501
H05,14,793,4.853418202
H05,15,1829,11.19407552
H05,16,1245,7.619805374
H05,17,734,4.492318991
H05,18,324,1.982985495
H05,19,66,0.40394149
H05,20,1,0.006120326
H05,22,4,0.024481302
H05,29,2,0.012240651
H06,9,12,0.073443907
H06,10,20,0.122406512
H06,11,124,0.758920375
H06,12,92,0.563069955
H06,13,413,2.527694473
H06,14,899,5.502172716
H06,15,543,3.323336802
H06,16,566,3.46410429
H06,17,379,2.319603403
H06,18,208,1.273027725
H06,19,56,0.342738234
H06,20,10,0.061203256
H06,21,1,0.006120326
H07,11,4,0.024481302
H07,12,1,0.006120326
H07,13,5,0.030601628
H07,14,10,0.061203256
H07,15,9,0.05508293
H07,16,5,0.030601628
H07,17,4,0.024481302
H08,11,5,0.030601628
H08,12,2,0.012240651
H08,13,6,0.036721954
H08,14,10,0.061203256
H08,15,22,0.134647163
H08,16,18,0.110165861
H08,17,10,0.061203256
H08,18,6,0.036721954
H08,19,1,0.006120326
H08,20,2,0.012240651
H09,11,2,0.012240651
H09,12,10,0.061203256
H09,13,12,0.073443907
H09,14,14,0.085684558
H09,15,10,0.061203256
H09,16,9,0.05508293
H09,17,4,0.024481302
H09,18,3,0.018360977
H09,19,1,0.006120326
H09,20,1,0.006120326
H09,21,1,0.006120326
H10,12,6,0.036721954
H10,13,13,0.079564233
H10,14,7,0.042842279
H10,15,9,0.05508293
H10,16,8,0.048962605
H10,17,5,0.030601628
H10,18,2,0.012240651
H10,19,1,0.006120326
H11,11,1,0.006120326
H11,12,8,0.048962605
H11,13,12,0.073443907
H11,14,14,0.085684558
H11,15,17,0.104045535
H11,16,7,0.042842279
H11,17,7,0.042842279
H11,18,3,0.018360977
H12,10,1,0.006120326
H12,11,4,0.024481302
H12,12,8,0.048962605
H12,13,9,0.05508293
H12,14,16,0.09792521
H12,15,15,0.091804884
H12,16,5,0.030601628
H12,17,8,0.048962605
H12,18,5,0.030601628
H12,19,2,0.012240651
IBM01,10,1,0.002170045
IBM01,11,30,0.065101341
IBM01,12,171,0.371077644
IBM01,13,430,0.933119222
IBM01,14,674,1.46261013
IBM01,15,1438,3.120524283
IBM01,16,819,1.777266612
IBM01,17,88,0.190963934
IBM01,18,113,0.245215051
IBM01,19,19,0.041230849
IBM01,21,11,0.023870492
IBM01,22,8,0.017360358
IBM02,11,7,0.015190313
IBM02,12,194,0.420988672
IBM02,13,237,0.514300595
IBM02,14,717,1.555922052
IBM02,15,702,1.523371381
IBM02,16,211,0.457879432
IBM02,17,709,1.538561694
IBM02,18,72,0.156243219
IBM02,19,50,0.108502235
IBM02,20,1,0.002170045
IBM03,9,2,0.004340089
IBM03,10,131,0.284275856
IBM03,11,107,0.232194783
IBM03,12,67,0.145392995
IBM03,13,300,0.651013411
IBM03,14,550,1.193524587
IBM03,15,717,1.555922052
IBM03,16,1282,2.781997309
IBM03,17,510,1.106722798
IBM03,18,220,0.477409835
IBM03,19,954,2.070222647
IBM03,20,10,0.021700447
IBM03,21,61,0.132372727
IBM03,22,1,0.002170045
IBM03,24,35,0.075951565
IBM04,10,5,0.010850224
IBM04,11,89,0.193133979
IBM04,12,78,0.169263487
IBM04,13,599,1.299856777
IBM04,14,990,2.148344256
IBM04,15,1449,3.144394775
IBM04,16,410,0.889718328
IBM04,17,175,0.379757823
IBM04,18,227,0.492600148
IBM04,19,53,0.115012369
IBM04,20,15,0.032550671
IBM04,21,464,1.006900742
IBM04,22,1,0.002170045
IBM04,23,9,0.019530402
IBM05,10,10,0.021700447
IBM05,11,56,0.121522503
IBM05,12,408,0.885378239
IBM05,13,1037,2.250336357
IBM05,14,2050,4.448591641
IBM05,15,2951,6.403801918
IBM05,16,758,1.644893885
IBM05,17,876,1.90095916
IBM05,18,246,0.533830997
IBM05,19,220,0.477409835
IBM05,20,11,0.023870492
IBM06,9,1,0.002170045
IBM06,10,5,0.010850224
IBM06,11,78,0.169263487
IBM06,12,388,0.841977345
IBM06,13,398,0.863677792
IBM06,14,544,1.180504318
IBM06,15,707,1.534221605
IBM06,16,442,0.959159759
IBM06,17,589,1.27815633
IBM06,18,153,0.33201684
IBM06,19,50,0.108502235
IBM06,20,7,0.015190313
IBM06,22,5,0.010850224
IBM06,23,2,0.004340089
IBM06,25,1,0.002170045
IBM06,29,1,0.002170045
IBM07,11,16,0.034720715
IBM07,12,159,0.345037108
IBM07,13,1330,2.886159455
IBM07,14,54,0.117182414
IBM07,15,1720,3.732476889
IBM07,16,784,1.701315047
IBM07,17,760,1.649233974
IBM07,18,40,0.086801788
IBM07,19,1,0.002170045
IBM08,11,2,0.004340089
IBM08,12,184,0.399288225
IBM08,13,361,0.783386138
IBM08,14,431,0.935289267
IBM08,15,989,2.146174211
IBM08,16,4,0.008680179
IBM08,17,2,0.004340089
IBM08,18,3,0.006510134
IBM08,19,1,0.002170045
IBM08,20,1,0.002170045
IBM09,10,1,0.002170045
IBM09,11,2,0.004340089
IBM09,12,4,0.008680179
IBM09,13,7,0.015190313
IBM09,14,3,0.006510134
IBM09,15,8,0.017360358
IBM09,16,5,0.010850224
IBM09,17,6,0.013020268
IBM09,18,3,0.006510134
IBM09,19,2,0.004340089
IBM09,21,1,0.002170045
IBM09,25,1,0.002170045
IBM10,11,1,0.002170045
IBM10,12,5,0.010850224
IBM10,13,9,0.019530402
IBM10,14,17,0.03689076
IBM10,15,26,0.056421162
IBM10,16,14,0.030380626
IBM10,17,2,0.004340089
IBM10,18,3,0.006510134
IBM10,19,1,0.002170045
IBM10,21,1,0.002170045
IBM11,10,9,0.019530402
IBM11,11,75,0.162753353
IBM11,12,352,0.763855735
IBM11,13,508,1.102382709
IBM11,14,600,1.302026822
IBM11,15,1109,2.406579576
IBM11,16,952,2.065882557
IBM11,17,315,0.683564081
IBM11,18,157,0.340697018
IBM11,19,232,0.503450371
IBM11,20,47,0.101992101
IBM11,21,3,0.006510134
IBM11,24,2,0.004340089
IBM11,27,1,0.002170045
IBM11,28,1,0.002170045
IBM12,10,10,0.021700447
IBM12,11,24,0.052081073
IBM12,12,109,0.236534873
IBM12,13,409,0.887548283
IBM12,14,375,0.813766764
IBM12,15,437,0.948309535
